ID	fact
OBJECTIVE O0	
O0_S1	187:98
O0_S2	286:98
O0_B1	715:77
O0_B2	793:135
OBJECTIVE O1	
O1_S1	425:71
O1_S2	497:73
O1_B1	929:88
O1_B2	1470:76
OBJECTIVE O2	
O2_S1	Now that you've found Tucker Needham in Amber Heights, convince him to return home to his mother in Stellar Bay.
O2_B1	1547:132
O2_B2	1680:67
O2_B3	1748:55
O2_B4	1804:56
O2_B5	1861:83
O2_B6	1945:48
O2_B7	1994:65
O2_B8	2060:62
O2_B9	2123:85
O2_B10	2209:103
OBJECTIVE O3	
O3_S1	You convinced Tucker Needham to return home to Stellar Bay.
O3_S2	Agnes promised a reward for bringing her son back.
O3_B1	2313:53
O3_B2	2367:48
O3_B3	You'll get 7500xp.
O3_B4	2435:92
O3_B5	2528:84
agnes_needham	
agnes_needham_01	Agnes Needham is a resident of Stellar Bay and the mother of Tucker Needham.
agnes_needham_02	Agnes' overprotective style of mothering has led her son, Tucker Needham, to run away from home so he can experience life.
agnes_needham_03	Despite Tucker being 42 years old, she still thinks of him as her 'little boy'.
agnes_needham_04	You can find her by Stellar Bay's south-east exit, visibly shaken and calling for help.
iconoclasts	
iconoclasts_01	The Iconoclasts are a group of survivalists living in the ruins of Amber Heights on Monarch.
iconoclasts_02	They hope to one day tear down the corporate establishment that they believe has brought the colony to the brink of death.
iconoclasts_03	The Iconoclasts are a group of idealistic revolutionaries that seek to overthrow the corporate establishment that runs the Halcyon Colony.
iconoclasts_04	Based in the ruins of the Amber Heights settlement on Monarch,
iconoclasts_05	they are a tenacious group,
iconoclasts_06	and share some democratic ideals with Monarch Stellar Industries (MSI) against the more repressive actions of the Board.
iconoclasts_07	However, the Iconoclast's anti-corporate nature has put them at odds with MSI, a dispute that threatens to spill into all-out warfare.
iconoclasts_08	Given that the Iconoclasts are mostly followers of the Philosophist faith, they have been blacklisted and demonized by the Board as dissenters and anarchists.
iconoclasts_09	The group is led by Graham Bryant, a staunch Philosophist.
iconoclasts_10	Zora Blackwood, the Iconoclasts' chief of medicine, is also considered a de facto leader of the group,
iconoclasts_11	as she was alongside Graham when he founded the Iconoclasts,
iconoclasts_12	and almost every member of the Iconoclasts owes her their life in some way.
iconoclasts_13	The Iconoclasts maintain a tense relationship with MSI.
iconoclasts_14	Despite sharing democratic values and a common desire towards egalitarianism for the people of Monarch and the wider Halcyon colony,
iconoclasts_15	"MSI's ""egalitarian corporate structure"" has proven to be at odds with some of the Iconoclasts' more radical, anti-capitalist views."
iconoclasts_16	Depending on the actions of the Stranger, this tense relationship can either be resolved,
iconoclasts_17	or can spill into a drawn-out and bloody war.
iconoclasts_18	The Stranger meets the Iconoclasts in Amber Heights just as the tension between them and MSI is reaching boiling point.
iconoclasts_19	They can either side with the Iconoclasts and assist them in storming and taking over Stellar Bay,
iconoclasts_20	"""solve"" the Iconoclast problem for Stellar Bay,"
iconoclasts_21	or broker peace between the two factions.
iconoclasts_22	The Stranger can also have an impact on the leadership of the Iconoclasts - siding with either Graham Bryant or Zora Blackwood.
iconoclasts_23	To supplant Graham with Zora, evidence of Graham's involvement in the Amber Heights massacre must be found and presented to Zora.
