ID	fact
OBJECTIVE O0	
O0_S1	221:49
O0_S2	271:33
O0_S3	several factories and research facilities were left mostly intact.
O0_S4	373:90
O0_S5	464:98
O0_S6	563:59
O0_B1	1927:136
OBJECTIVE O1	
O1_S1	652:58
O1_S2	Retrieve the information he's holding on the salvage location and deliver it to Catherine Malin in Fallbrook.
O1_B1	2064:100
O1_B2	2165:67
O1_B3	2233:46
OBJECTIVE O2	
O2_S1	Take the passcode you found on the SubLight agent's body to Catherine in Fallbrook.
O2_S2	She'll provide details on how to salvage the Alta-Vitae gas.
O2_B1	2280:85
O2_B2	Talk to Mortimer Bell near the entrance and,
O2_B3	2411:38
O2_B4	2450:38
O2_B5	2489:55
O2_B6	2545:65
O2_B7	2611:88
O2_B8	2700:86
O2_B9	2787:64
O2_B10	2852:46
O2_B11	2899:37
O2_B12	2937:63
OBJECTIVE O3	
O3_S1	844:67
O3_S2	"The passwored ""ANTEDILUVIAN"" should get you inside the hidden lab."
O3_B1	3729:119
O3_B2	3849:124
O3_B3	3974:55
O3_B4	4030:75
O3_B5	4106:71
OBJECTIVE O4	
O4_S1	999:61
O4_S2	To get the gas offworld, signal ADA from the message terminal inside the Cascadia lab.
O4_S3	She'll prepare the ship for the fueling connection.
O4_B1	4178:42
O4_B2	4220:39
O4_B3	4260:59
O4_B4	4320:57
O4_B5	4378:29
O4_B6	4408:49
OBJECTIVE O5	
O5_S1	1220:91
O5_S2	1312:83
O5_B1	4458:62
O5_B2	4521:90
O5_B3	4930:92
O5_B4	5023:46
O5_B5	5070:81
O5_B6	5152:11
OBJECTIVE O6	
O6_S1	1590:75
O6_S2	1666:40
O6_B1	5164:44
O6_B2	5209:31
O6_B3	5241:52
O6_B4	Go to the far end of the room,
O6_B5	5324:64
O6_B6	5389:59
O6_B7	5449:77
O6_B8	5527:66
O6_B9	5594:64
O6_B10	5659:19
OBJECTIVE O7	
O7_S1	1808:22
O7_S2	1831:30
O7_S3	1862:62
O7_B1	5973:119
O7_B2	6093:121
O7_B3	6224:101
O7_B4	6326:56
alex_hawthorne	
alex_hawthorne_01	Before his death, Hawthorne was considered a dear friend by the Groundbreaker's resident Board representative Udom Bedford,
alex_hawthorne_02	though it is unclear if the sentiment was returned.
alex_hawthorne_03	He also had done business with Lilya Hagen,
alex_hawthorne_04	the CEO of SubLight Salvage and Shipping Corporation,
alex_hawthorne_05	who is also based aboard the Groundbreaker.
alex_hawthorne_06	Hawthorne preferred solitude rather than company on his flights.
alex_hawthorne_07	He was also mechanically trained,
alex_hawthorne_08	with the ability to install the Vocational Competence Respecification Machine in the Unreliable.
alex_hawthorne_09	He would often play board games and socialize with ADA.
alex_hawthorne_10	At some point he was hired by Phineas Vernon Welles to help the Stranger in their mission to free the remaining colonists aboard the Hope.
alex_hawthorne_11	In his final moments, he was holding onto the guide beacon for the Stranger's pod to make its landing.
alex_hawthorne_12	Rather than putting the beacon down and stepping away,
alex_hawthorne_13	Hawthorne was crushed by the Stranger's pod when it made landfall on Terra 2.
alex_hawthorne_14	His ship's AI, ADA, believes this error in judgement might have been due to a recent head injury.
