ID	fact
OBJECTIVE O0	
O0_S1	189:136
O0_S2	326:32
O0_S3	359:57
O0_S4	417:95
O0_B1	After completing Happiness is a Warm Spaceship,
O0_B2	Junlei Tennyson will mention that Edna Ingmire has something which she could use the Stranger's help with.
O0_B3	Edna will explain that the Groundbreaker is about to lose its communications capabilities,
O0_B4	as its primary communications relay is about to be occluded by one of Halcyon's gas giants for the next few months.
O0_B5	Unfortunately, the only backup auxiliary relay within orbital range went offline months ago,
O0_B6	and Groundbreaker cannot spare any people for maintenance.
O0_B7	Offering to help get the station back online starts the quest.
O0_B8	Edna will also give the Stranger a Relay Diagnostics Manual to help them diagnose the problem with the station
O0_B9	and asks them to retrieve a copy of the relay's backup data so she can forward any messages from Earth stored in the memory.
OBJECTIVE O1	
O1_S1	534:73
O1_S2	608:61
O1_S3	670:35
O1_B1	856:65
OBJECTIVE O2	
O2_S1	The terminal to activate the relay is located inside the central control room of the relay station.
O2_S2	Each relay transmitter maintains a backup of messages it has received but not yet transmitted.
O2_S3	Since the relay has been off-line for some time,
O2_S4	the log of backup messages should be quite substantial.
O2_B1	922:59
O2_B2	982:61
O2_B3	1044:46
O2_B4	1091:20
O2_B5	Loot the Keycard from the corpse and use it on the terminal to activate the Relay.
OBJECTIVE O3	
O3_S1	Edna is in the Communications Control Room in Engineering.
O3_B1	Return to Groundbreaker and give Edna the data.
O3_B2	She will provide a reward of 1,500 bits,
O3_B3	completing the quest.
alexander_frey	
alexander_frey_01	Alexander J. Frey is a man whose body can be found on Relay GB-23.
alexander_frey_02	Alexander Frey was a man who lived in Byzantium who began hearing strange voices inside his head.
alexander_frey_03	"The voices told him to ""help"" the people he saw by killing them,"
alexander_frey_04	and he began having dreams about murder,
alexander_frey_05	including one where he strangled his work supervisor, Delilah, to death.
alexander_frey_06	He fled Byzantium,
alexander_frey_07	believing that he would be locked up,
alexander_frey_08	after he once confessed his thoughts to an old friend.
alexander_frey_09	He took refuge on Relay GB-23,
alexander_frey_10	bringing with him enough supplies to last decades.
alexander_frey_11	In an attempt to stop the whispers in his head,
alexander_frey_12	he deactivated the relay station's transmitter relay,
alexander_frey_13	creating a risk to Groundbreaker's communications capabilities when their primary comms relay experienced an occlusion event.
alexander_frey_14	Unfortunately, deactivating the transmitter failed to stop the voices in Frey's head.
alexander_frey_15	This led him to committing suicide to end the whispers once and for all.
edna_ingmire	
edna_ingmire_01	Edna Ingmire is an engineer on Groundbreaker.
edna_ingmire_02	Edna is friends with Gladys Culkelly and occasionally passes on transmissions that she thinks Gladys may find interesting.
edna_ingmire_03	For all her good judgment when it comes to identifying transmissions of interest,
edna_ingmire_04	this does not translate when it comes to men.
groundbreaker	
groundbreaker_01	UDL-001 The Groundbreaker or simply Groundbreaker was the first colony ship to arrive in Halcyon during the Crossing.
groundbreaker_02	By 2355, it has been converted into an independent orbital station,
groundbreaker_03	and is the only place in the entire Halcyon system that is not controlled by the Halcyon Holdings Corporate Board or any other corporation.
groundbreaker_04	The crew of the Groundbreaker is fiercely protective of their independence from the corporations,
groundbreaker_05	and the corporations value the station's role as a thriving freeport enough that they are willing to deal with it on relatively equal terms.
groundbreaker_06	In practical terms, while the Groundbreaker rules itself,
groundbreaker_07	it cooperates with the corporations to an extent,
groundbreaker_08	such as by impounding ships that the Board happens to flag.
groundbreaker_09	The Groundbreaker is commanded by engineer-turned-captain Junlei Tennyson.
groundbreaker_10	Udom Bedford is the Halcyon Holdings Corporation representative stationed aboard.
groundbreaker_11	According to Junlei, lots of corners were cut when the ship was built,
groundbreaker_12	prompting Captain Guiying Tennyson to spend half of her career attempting to patch the ship back together after the Crossing from Earth to Halcyon.
groundbreaker_13	In addition, the ship has tinkerings and bypasses that only the Tennysons know about.
groundbreaker_14	The Groundbreaker maintains a somewhat tense relationship with the Board,
groundbreaker_15	owing to their declared independence from Board authority,
groundbreaker_16	as well as their control of shipping routes outward from the Halcyon System.
groundbreaker_17	Nonetheless, given that Groundbreaker lacks any semblance of military might against the Board beyond the mardets stationed aboard the ship,
