ID	fact
OBJECTIVE O0	
O0_S1	214:83
O0_S2	She gave you an override bypass that should stake her claim over HRS-1084 as the rightful property of SubLight Salvage.
O0_B1	Speaking with Lilya Hagen after completing Space-Crime Continuum will start this quest.
O0_B2	Lilya will tell the Stranger about HRS-1084,
O0_B3	an abandoned research station which SubLight wants to acquire for its own.
O0_B4	She gives them an Override Cartridge which will allow SubLight to take over the station.
OBJECTIVE O1	
O1_S1	460:83
O1_S2	544:44
O1_B1	1132:49
O1_B2	1249:69
O1_B3	1319:64
O1_B4	1384:131
O1_B5	1516:173
O1_B6	1690:101
O1_B7	1792:67
O1_B8	1860:81
O1_B9	1942:39
O1_B10	1982:71
O1_B11	2600:71
O1_B12	2672:43
O1_B13	2716:105
O1_B14	2822:64
O1_B15	3117:31
O1_B16	3149:64
O1_B17	3214:169
O1_B18	3385:65
OBJECTIVE O2	
O2_S1	806:71
O2_S2	878:44
O2_S3	She can be found in SubLight Headquarters on the Groundbreaker.
O2_B1	3589:41
O2_B2	3631:114
O2_B3	3746:117
O2_B4	Lilya will ask you if you encountered any resistance at the station,
O2_B5	3932:56
O2_B6	3989:65
O2_B7	4055:19
O2_B8	4075:48
O2_B9	4124:38
O2_B10	4162:37
O2_B11	4200:79
O2_B12	4280:37
O2_B13	4318:45
O2_B14	4364:38
O2_B15	4403:122
ada	
ada_01	ADA (Autonomous Digital Astrogator) is an advanced AI aboard the Unreliable.
ada_02	She controls the navigation and communications systems of the ship.
ada_03	As ADA was programmed to recognize only Alex Hawthorne as the legal owner of the Unreliable,
ada_04	"the Stranger has no choice but to allow her to identify them as ""Captain Alex Hawthorne"" in order to circumvent the restriction."
ada_05	She is able to adapt and learn from the ship's operators to be able to better anticipate their needs.
automechanicals	
automechanicals_01	Automechanicals are robots in The Outer Worlds.
automechanicals_02	Taking on various shapes and forms,
automechanicals_03	from quadrupedal walkers,
automechanicals_04	to hovering drones,
automechanicals_05	to large humanoid mechs,
automechanicals_06	automechanicals function to provide various services to corporations and their owners in Halcyon.
automechanicals_07	Mechanicals are equipped with a large automatic cannon.
automechanicals_08	They are vulnerable to electromagnetic damage weaponry,
automechanicals_09	such as the stun baton.
cascadia	
cascadia_01	Cascadia is an abandoned company town that was owned and operated by Rizzo's before it withdrew from Monarch.
cascadia_02	It is now used as a stronghold by the Marauders.
cascadia_03	The main attraction is the Cascadia Bottling Plant and,
cascadia_04	for those in the know,
cascadia_05	the Rizzo Secret Laboratory hidden underneath the Rizzo Sweets Shoppe.
groundbreaker	
groundbreaker_01	UDL-001 The Groundbreaker or simply Groundbreaker was the first colony ship to arrive in Halcyon during the Crossing.
groundbreaker_02	By 2355, it has been converted into an independent orbital station,
groundbreaker_03	and is the only place in the entire Halcyon system that is not controlled by the Halcyon Holdings Corporate Board or any other corporation.
groundbreaker_04	The crew of the Groundbreaker is fiercely protective of their independence from the corporations,
groundbreaker_05	and the corporations value the station's role as a thriving freeport enough that they are willing to deal with it on relatively equal terms.
groundbreaker_06	In practical terms, while the Groundbreaker rules itself,
groundbreaker_07	it cooperates with the corporations to an extent,
groundbreaker_08	such as by impounding ships that the Board happens to flag.
groundbreaker_09	The Groundbreaker is commanded by engineer-turned-captain Junlei Tennyson.
groundbreaker_10	Udom Bedford is the Halcyon Holdings Corporation representative stationed aboard.
